"Source:","/home/jakub/VUT_FIT/bakalarka2.0/KiCAD_Bak/STM32WB55CG/STM32WB55_QFN48_IPD_REF_BOARD.sch"
"Date:","Wed 17 Feb 2021 11:01:06 PM CET"
"Tool:","Eeschema 5.1.9-1.fc32"
"Component Count:","70"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BT1","Battery_Cell","0Pretty:battery_connector","~","",""
"C1","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C2","100p","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/AVX/04026C101KAT2A/?qs=nyfP64xlqc%2FN9ABjcoge4g%3D%3D","",""
"C3","4u7","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Murata-Electronics/GRT155C80J475ME13D/?qs=rrS6PyfT74fcISTT255Zog%3D%3D","",""
"C4","4u7","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Murata-Electronics/GRT155C80J475ME13D/?qs=rrS6PyfT74fcISTT255Zog%3D%3D","",""
"C5","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C6","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C7","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C8","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C9","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C10","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C11","1u","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Taiyo-Yuden/LMK105BJ105MVHF/?qs=sBf%2Fb4nBSlfFq2d5eQRmhw%3D%3D","",""
"C12","100n","Capacitor_SMD:C_0603_1608Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0201KRX6S6BB104/?qs=tS%2FAHvPQ%2F55Jn9CaHON1Eg%3D%3D","",""
"C13","4u7","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Murata-Electronics/GRT155C80J475ME13D/?qs=rrS6PyfT74fcISTT255Zog%3D%3D","",""
"C14","10n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Murata-Electronics/GCB155M91A103KE01D/?qs=rrS6PyfT74f9uJD9nibAXg%3D%3D","",""
"C15","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/AVX/04026D104KAT2A/?qs=LLG2yGGJ5NhILwMziGI8Xg%3D%3D","",""
"C16","1u","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Taiyo-Yuden/LMK105BJ105MVHF/?qs=sBf%2Fb4nBSlfFq2d5eQRmhw%3D%3D","",""
"C17","4p3","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/KEMET/C0402C439B5GACTU/?qs=sGAEpiMZZMuMW9TJLBQkXtQELi8n00gZ9Z2MeBGZChc%3D","",""
"C18","4p3","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/KEMET/C0402C439B5GACTU/?qs=sGAEpiMZZMuMW9TJLBQkXtQELi8n00gZ9Z2MeBGZChc%3D","",""
"C19","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C20","1u","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Murata-Electronics/GRT155C80J105KE01D/?qs=drgMNd%252BkGPPklTH3DFv1UA%3D%3D","",""
"C21","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Yageo/CC0402JRX7R8BB104/?qs=tS%2FAHvPQ%2F56C6Jcuby2Lxg%3D%3D","",""
"C22","1u","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Murata-Electronics/GRT155C80J105KE01D/?qs=drgMNd%252BkGPPklTH3DFv1UA%3D%3D","",""
"C23","1u","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Murata-Electronics/GRT155C80J105KE01D/?qs=drgMNd%252BkGPPklTH3DFv1UA%3D%3D","",""
"C24","22p","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/KEMET/C0402C220J5GAC7411/?qs=G1g%2FCI6Oc7%252BpkCDhmQb%252B2A%3D%3D","",""
"C25","22p","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/KEMET/C0402C220J5GAC7411/?qs=G1g%2FCI6Oc7%252BpkCDhmQb%252B2A%3D%3D","",""
"C_1","10u","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.sk/ProductDetail/Murata-Electronics/GRJ155R60J106ME11D/?qs=I53XXhTNm8s0qq2xY2TjBg%3D%3D","",""
"D1","LED Blue","LED_SMD:LED_0402_1005Metric","https://www.mouser.sk/ProductDetail/ROHM-Semiconductor/SMLP13BC8TT86/?qs=9Cg39qEKpi6LOVes3%252Bc%2Fag%3D%3D","",""
"D2","BAT54J","Diode_SMD:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/BAT54J.pdf","",""
"D3","1N4148WT","Diode_SMD:D_SOD-523","https://www.diodes.com/assets/Datasheets/ds30396.pdf","",""
"ed1","RECE.20279.001E.01","RECE_antena_connector:RECE.20279.001E.01","http://www.taoglas.com/wp-content/uploads/2016/04/RECE.20279.001E.01.pdf","",""
"FB1","Z0805C601BSMST","Resistor_SMD:R_0805_2012Metric","https://www.mouser.sk/ProductDetail/KEMET/Z0805C601BSMST/?qs=v1sh8PPj49jmDD01hjhyZg==","",""
"FB2","MMZ2012Y152BTD25","Resistor_SMD:R_0805_2012Metric","https://www.mouser.sk/ProductDetail/TDK/MMZ2012Y152BTD25?qs=z4cHi%252BdwYubbRRUCER1uug%3D%3D","",""
"FB3","MMZ2012Y152BTD25","Resistor_SMD:R_0805_2012Metric","https://www.mouser.sk/ProductDetail/TDK/MMZ2012Y152BTD25?qs=z4cHi%252BdwYubbRRUCER1uug%3D%3D","",""
"FL1","MLPF-WB55-01E3","0Pretty:MLPF-WB55-02E3","https://www.st.com/resource/en/datasheet/mlpf-wb55-01e3.pdf","",""
"IC1","LD3985M33R","Package_TO_SOT_SMD:SOT-23-5","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00003395.pdf","",""
"IC2","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00050750.pdf","",""
"J1","USB_B_Micro","microUSB:UB-MC5BR3-SDWP604-4S-TF","https://www.tme.eu/Document/7505dce1b4a576fb38a063ffeef6b4eb/usbwater.pdf","",""
"J2","Conn_01x06_Male","Molexkonektor:55932-0610","~","",""
"J3","Conn_01x03_Male","0Pretty:PCB_Pin_connector","~","",""
"J4","Conn_01x04_Male","0Pretty:Pin_FSR","~","",""
"J5","Conn_01x06_Male","Molexkonektor:55932-0610","~","",""
"JP1","SolderJumper Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"L1","4u7","Inductor_SMD:L_0603_1608Metric","https://www.mouser.sk/ProductDetail/TDK/MLZ1608E4R7MT/?qs=h0qUPQyyc9d3MvAbpnb%252BVQ%3D%3D","",""
"L2","10u","0Pretty:L_0712_SMD","https://www.mouser.sk/ProductDetail/Bourns/PM0603-10NJ-RC/?qs=hDfDVdb8C4gaFG%2FjJv%252Bsvg%3D%3D","",""
"L3","10n","Inductor_SMD:L_0603_1608Metric","https://www.mouser.sk/ProductDetail/KEMET/L0603C10NJRMST/?qs=v1sh8PPj49i58Ne9vk%2F5nA%3D%3D","",""
"R1","100K","Resistor_SMD:R_0402_1005Metric","https://www.mouser.sk/ProductDetail/Welwyn-Components-TT-Electronics/WCR0402-100KFA/?qs=%2Fha2pyFaduhPlylfbvJy6ar93DMzWeQbkIrpOvswXaUoZ0xMVRPNhw%3D%3D","",""
